listing,price,serial,condition,weight,stock
Powers Electric A-Type Select Quilt Maple Pale Ale w/FF42 Pickups,"$4,999.00",,NEW,,Pre-Order
Powers Electric A-Type Select Quilt Maple Sweet Tea Orange w/PF42 Pickups,"$4,999.00",,NEW,,Pre-Order
Powers Electric A-Type Select Birdseye Maple Twilight Blue w/FF42 Pickups,"$4,999.00",,NEW,,Pre-Order
Powers Electric A-Type Select Birdseye Maple Cosmo Red w/PF42 Pickups,"$4,659.00",,NEW,,Pre-Order
Powers Electric A-Type Select Flame Maple Juniper Green w/PF42 Pickups,"$4,659.00",,NEW,,Pre-Order
Powers Electric A-Type Select Flame Maple Antique Blonde w/FF42 Pickups,"$5,199.00",,NEW,,Pre-Order
Powers Electric A-Type Select Flame Maple Cosmo Orange w/FF42 Pickups,"$4,499.00",,NEW,,Pre-Order
Squier Classic Vibe Duo-Sonic HS Lake Placid Blue,$419.99,,NEW,,Pre-Order
Squier Classic Vibe Duo-Sonic HS Desert Sand,$419.99,,NEW,,Pre-Order
Squier Classic Vibe Custom Esquire Sherwood Green,$473.99,,NEW,,Pre-Order
Squier Classic Vibe Custom Esquire Candy Apple Red,$473.99,,NEW,,Pre-Order
Squier Classic Vibe '70s Stratocaster HT HSS Olympic White,$449.99,,NEW,,Pre-Order
Squier Classic Vibe '50s Stratocaster HT Surf Green,$449.99,,NEW,,Pre-Order
Fender Limited Edition Vintera II '60s Telecaster Antigua,"$1,574.99",,NEW,,Pre-Order
Squier Classic Vibe '50s Stratocaster HT Shell Pink,$449.99,,NEW,,Pre-Order
Fender Limited Edition American Vintage II '51 Telecaster Black,"$2,939.99",,NEW,,Pre-Order
Gretsch Streamliner G2655 Center Block Jr. Double-Cut Black w/V-Stoptail,$529.99,,NEW,,Pre-Order
Gretsch Streamliner G2655 Center Block Jr. Double-Cut Village Amber w/V-Stoptail,$529.99,,NEW,,In Stock!
Gretsch Streamliner G2622T Center Block Double-Cut Village Amber w/Bigsby,$629.99,,NEW,,Pre-Order
Gretsch Streamliner G2655T Center Block Jr. Double-Cut Gunmetal w/Bigsby,$629.99,,NEW,,In Stock!
Powers Electric A-Type Select Quilt Maple Blue Lagoon w/FF42 Pickups,"$4,659.00",,NEW,,Pre-Order
Gretsch Streamliner G2655T Center Block Jr. Double-Cut Cadillac Green w/Bigsby,$629.99,,NEW,,In Stock!
Powers Electric A-Type Select Flame Maple Custom Shark Grey w/FF42 Pickups,"$5,199.00",,NEW,,Pre-Order
Powers Electric A-Type Select Flame Maple Solana Sunset w/PF42 Pickups,"$4,659.00",,NEW,,Pre-Order
Gretsch Electromatic CVT Double-Cut Wychwood w/Wraparound Tailpiece,$419.99,,NEW,,Pre-Order
