listing,Brand,price,serial,condition,,weight,stock,,,,,Brand
Powers Electric A-Type Select Quilt Maple Pale Ale w/FF42 Pickups,Other,"$4,999.00 ",#N/A,NEW,,,Pre-Order,,,,,#N/A
Powers Electric A-Type Select Quilt Maple Sweet Tea Orange w/PF42 Pickups,Other,"$4,999.00 ",#N/A,NEW,,,Pre-Order,,,,,#N/A
Powers Electric A-Type Select Birdseye Maple Twilight Blue w/FF42 Pickups,Other,"$4,999.00 ",#N/A,NEW,,,Pre-Order,,,,,#N/A
Powers Electric A-Type Select Birdseye Maple Cosmo Red w/PF42 Pickups,Other,"$4,659.00 ",#N/A,NEW,,,Pre-Order,,,,,#N/A
Powers Electric A-Type Select Flame Maple Juniper Green w/PF42 Pickups,Other,"$4,659.00 ",#N/A,NEW,,,Pre-Order,,,,,#N/A
Powers Electric A-Type Select Flame Maple Antique Blonde w/FF42 Pickups,Other,"$5,199.00 ",#N/A,NEW,,,Pre-Order,,,,,#N/A
Powers Electric A-Type Select Flame Maple Cosmo Orange w/FF42 Pickups,Other,"$4,499.00 ",#N/A,NEW,,,Pre-Order,,,,,#N/A
Squier Classic Vibe Duo-Sonic HS Lake Placid Blue,Squier,$419.99 ,#N/A,NEW,,,Pre-Order,,,,,Squier
Squier Classic Vibe Duo-Sonic HS Desert Sand,Squier,$419.99 ,#N/A,NEW,,,Pre-Order,,,,,Squier
Squier Classic Vibe Custom Esquire Sherwood Green,Squier,$473.99 ,#N/A,NEW,,,Pre-Order,,,,,Squier
Squier Classic Vibe Custom Esquire Candy Apple Red,Squier,$473.99 ,#N/A,NEW,,,Pre-Order,,,,,Squier
Squier Classic Vibe '70s Stratocaster HT HSS Olympic White,Squier,$449.99 ,#N/A,NEW,,,Pre-Order,,,,,Squier
Squier Classic Vibe '50s Stratocaster HT Surf Green,Squier,$449.99 ,#N/A,NEW,,,Pre-Order,,,,,Squier
Fender Limited Edition Vintera II '60s Telecaster Antigua,Fender,"$1,574.99 ",#N/A,NEW,,,Pre-Order,,,,,Fender
Squier Classic Vibe '50s Stratocaster HT Shell Pink,Squier,$449.99 ,#N/A,NEW,,,Pre-Order,,,,,Squier
Fender Limited Edition American Vintage II '51 Telecaster Black,Fender,"$2,939.99 ",#N/A,NEW,,,Pre-Order,,,,,Fender
Gretsch Streamliner G2655 Center Block Jr. Double-Cut Black w/V-Stoptail,Other,$529.99 ,#N/A,NEW,,,Pre-Order,,,,,#N/A
